,PigType,DETECTED,dist_boar,dist_pig,borderMI,borderNY,borderQC
112,unknown,1,10251.360738896967,6201.111950717477,295362.24537152145,76789.86602865277,261208.7640980315
113,domesticated,1,52966.501453891986,3202.9299763564572,109900.08116056847,175982.22954168433,453256.38294098235
114,unknown,1,83826.89856418861,3409.7739601939984,379025.47559860814,338139.86274919315,125149.3359736756
115,unknown,1,14315.869725976934,3509.49052609872,317045.4506786882,101457.41438803628,233720.50348029652
116,unknown,1,24727.745195668787,2838.2094793157294,276394.74311148166,93482.88779194791,256592.7992179351
117,unknown,1,18731.097830522922,4628.3510953027135,275036.06117917434,86142.78508659596,263297.7008542812
118,unknown,1,4025.3826261116733,4749.666566407891,675926.1577844439,58783.46840410724,6504.490639474938
119,domesticated,1,49277.63893651268,1710.5036275853088,118171.97210426556,157436.14242535658,422508.29805030173
120,domesticated,1,12295.602799654705,871.1360615760677,54132.24570640571,222684.3967838033,457947.7704727271
121,unknown,1,20576.863856376323,1881.9532949040058,53677.51749165823,235541.10239105966,488837.1232881868
122,unknown,1,7303.838623373245,3870.89138800307,268634.47260664764,152287.60346184135,221487.7829849192
123,unknown,1,2702.358635450807,3049.941348885176,229436.3010603282,45059.21847140693,369956.66487151
124,domesticated,1,16878.95167853957,631.3438704671383,344768.0557744268,113221.21717412914,214143.1706226053
125,unknown,1,30083.63856707589,4630.953537311144,419104.5080490668,91312.65493292989,188577.56941803134
126,domesticated,1,13762.39235350604,3177.6590021177944,22375.540970894654,344019.37581332866,592875.2650563188
127,unknown,1,8824.118883252417,2705.901869446187,351490.6287899132,103841.95455349774,218189.55241980852
128,wild boar,1,1862.5079685977955,3894.8452932132313,436953.4990642432,91649.02641118625,142274.149509929
129,domesticated - pot bellied,1,19524.947030766263,3697.587141430516,432319.31946195033,85992.90342244267,158214.1854533461
130,domesticated - pot bellied,1,34217.2905410206,1290.6774203791906,233016.90178301834,132869.64004878644,260883.5360354541
131,domesticated - pot bellied,1,42322.52668868614,3965.9057021280732,534296.3934941583,69618.64034299475,56109.475334519455
132,domesticated,1,3777.3743921282135,464.0435659325504,213012.48735056742,88759.13976976377,312566.5573618706
133,domesticated,1,36975.81481171921,920.424258588737,373419.5078537918,149363.57428916963,178597.43650099655
134,domesticated,1,3776.033184527972,463.21330598029107,213012.0911868202,88760.43993260562,312565.7442329309
135,domesticated,1,58176.08666514761,3303.8989588910936,88686.15782494408,215188.25359021698,386296.457334319
136,domesticated - pot bellied,1,21034.213507175242,2717.599106797156,185859.08966692135,201903.52271389888,288204.4841560623
137,domesticated - pot bellied,1,27035.191674899277,2061.1515390495388,258491.81761754645,92183.74161872886,267891.4123579802
138,unknown,1,9540.47123552831,4397.260594608868,275815.0411396103,72086.26621516704,274995.9503989759
139,unknown,1,78779.77038241691,13230.670066704488,390709.1713205083,239057.43282547276,103222.36036857739
140,domesticated,1,3626.3459053205515,388.47094421278257,212971.7716003896,88903.31256671155,312472.49143701006
141,unknown,1,24681.770287072355,8008.993684276502,256302.01860179313,85328.28000007552,274812.4958587925
142,domesticated - pot bellied,1,10608.169432684126,2497.3740464793364,221207.91075060557,53894.92590551103,366912.9909699206
143,unknown,1,22096.168105496617,258.06733808532863,183195.60969114624,203164.13935133372,290899.12592489406
144,unknown,1,9135.053657179682,1838.471089912691,413221.299616964,305624.0634113211,62938.832076527244
145,unknown,1,16929.24808540899,1022.2542786559285,427863.098663048,91915.93091603098,157980.63185969807
146,domesticated,1,28151.518993486658,4910.790556610966,608411.8073066924,45442.60270788278,21995.879431370733
147,domesticated - pot bellied,1,55139.972553010004,1784.7742798486713,617359.0327681204,2359.1497706994014,56819.553451372376
148,unknown,1,10597.667492736668,1116.2618907776737,522449.0673083214,174464.83823006245,10570.119806614888
149,unknown,1,21641.975420471368,2608.2513288053306,206055.18835858558,183536.86038789322,269082.2039480215
150,unknown,1,28545.496467044224,1973.6669033731787,67209.47857894227,207387.31273804486,440052.1465125356
151,domesticated,1,27184.239665400564,6115.355587111976,239867.8229870932,171113.3904878676,238894.57381741042
152,unknown,1,24049.048846006972,1908.985483685094,294297.4792809022,155736.07921440774,201896.41591500767
153,unknown,1,16357.285077982679,3154.9609523559434,563007.1994722721,41528.534859823776,55067.04681184064
154,unknown,1,23791.799347649747,1713.527015664101,281262.56760975055,177393.74846854206,200481.98277489145
155,domesticated - pot bellied,1,19790.13977643879,3437.4248294126137,243413.71664680546,106324.55312663864,268642.107174318
156,domesticated,1,14993.474425210814,7525.172213831326,173937.8992742756,101041.31289524442,380784.86777733016
157,unknown,1,31628.1352871298,6260.276863674824,420350.2959330824,93841.3765294813,172412.98539456568
158,unknown,1,993.0244802006756,1290.8250288476336,260345.14117646252,156211.07904648912,226210.42890897146
159,domesticated - pot bellied,1,28872.326876302872,6361.038538674277,244728.28952158577,116106.70371409623,260914.4728312813
160,unknown,1,1733.776846654581,1861.9942235049787,261195.95331856277,157062.8068556473,225133.4377988827
161,unknown,1,48004.00210938478,868.1416323215799,102267.13832035355,176810.11107992879,441901.5085265126
162,unknown,1,22083.57645674601,5806.966285875265,164275.35157768874,115364.66288623816,417313.0650258404
163,domesticated - pot bellied,1,19592.65705430422,2562.462613900664,251104.62264964025,25601.606151791177,364528.2606913656
164,wild boar,1,34269.6219080531,3560.6928794296437,265858.4211187756,98018.59812279588,258679.97843955876
165,unknown,1,4929.763376494022,1872.235121469136,265518.68243422767,151676.2918473892,224198.75266978188
166,unknown,1,35313.67569983792,10874.558440366585,261962.99991064874,45971.2121097651,305215.0119695379
167,domesticated,1,27162.943826235423,3208.9332750416243,277577.69773663743,135877.7724048961,224633.39202626585
168,domesticated - pot bellied,1,33998.179288306696,334.8385609503555,56278.958628708424,240547.2159176272,501329.336632491
169,unknown,1,46697.432164302634,1702.7317958397855,232175.23825118775,256437.46249452076,253525.39491368466
170,domesticated,1,72076.0985022622,1825.927214444762,372460.88996752707,241727.26710556826,108113.24060416938
171,domesticated,1,9648.11205543626,2424.9776179447235,203258.74903223506,93533.33916459374,320454.2191460586
172,unknown,1,35997.073241633254,13392.66229621277,235478.275907465,54654.577119769885,322128.299870969
173,domesticated,1,10830.415883524207,438.1614980214887,67702.4442405361,214000.9185062918,463223.87241155916
174,unknown,1,43245.396875106235,1775.9771589233605,551108.1786403655,70280.82129133666,41805.50499347068
175,unknown,1,2318.722126075772,4996.87622379277,654216.5636531843,33991.76758759088,28383.427945641517
176,domesticated - pot bellied,1,24646.25033415167,7345.334563312423,0.0,348091.8579290251,578613.6004870168
177,unknown,1,19594.1335039004,3967.1795039139965,701552.754943427,46405.00325015691,1319.5865414084553
178,unknown,1,19714.913390958387,3957.1336995702604,288193.4341276111,105215.77336676457,241916.57266138113
179,unknown,1,20376.245295819164,3587.144750681497,287565.6727625007,104846.15763659673,242463.38543015523
180,domesticated,1,17285.04702330978,2397.1299324932334,292611.3275326454,103809.18478684142,241566.72592912894
181,unknown,1,64076.48164005718,2543.0209677856815,574156.3397016709,83340.22095588219,16521.873722637432
182,unknown,1,9591.859169599187,6991.029759091155,169952.4625524876,104655.9439738415,386011.67590218596
183,domesticated - pot bellied,1,24098.791418891182,3860.855514929143,66695.72947721914,224704.04191072832,486413.85801221133
184,domesticated,1,15390.192440502049,919.0120641019319,496450.00307798554,173802.75117327552,37031.23011108972
185,domesticated,1,19545.348118335132,3532.552348409355,181949.91134934526,93759.85524138324,373283.86213251046
186,domesticated,1,23124.616034006634,2416.3936447087035,412343.153091198,104471.32597365837,171329.18274427688
187,domesticated - pot bellied,1,21118.34075800968,608.7292294559727,428337.5000170777,81949.45390019588,184797.89333699233
188,domesticated,1,22656.889328801655,2368.0351909866386,69724.68336713522,206144.77175140736,446872.6825320641
189,domesticated - pot bellied,1,41499.07394892323,1879.1978239061132,70071.27324916466,205243.04563032434,427514.232046466
190,wild boar,1,79729.46194249866,28115.92547218556,258444.60938869123,286210.54045934783,238863.38340505728
191,wild boar,1,70517.00324181386,19006.649086776873,249313.52587020665,278582.6718460471,244901.4681990869
192,unknown,1,67568.14916377739,17847.865940562067,239198.36548516178,278332.23839325685,256009.83431469533
193,domesticated,1,18407.590745596397,2976.083955147905,446338.8451276824,75940.52314760465,146191.03157344589
194,domesticated - pot bellied,1,100810.75532078973,4538.308855678731,307410.2295831627,373509.3888230429,255307.87142170224
195,unknown,1,28345.239626662773,5785.8733219835385,225388.27825321053,60016.61780598125,329919.8623533307
196,unknown,1,33142.38597003176,1343.321739169507,484851.63995500375,34765.245673065474,136669.67382085865
197,wild boar,1,935.9261539677133,1127.8456492648231,262693.0686370234,157283.09834153618,223811.53840677466
198,unknown,1,18585.922695005826,2660.3499919014935,206333.2723752522,139291.81277712755,282989.7170397661
199,domesticated,1,18032.331824192952,742.7867400704387,640188.8028557716,28398.662089046193,36648.32018139892
200,wild boar,1,1201.395857879148,2052.030261593298,261535.38667693836,157664.88348035372,224589.12868659562
201,domesticated,1,29763.413619577488,2717.4018361256626,259383.85647068248,99499.36636729204,261679.47641287636
202,unknown,1,43074.80604530031,3576.197965516818,18026.692446241876,256468.77143757817,466390.92948600015
203,domesticated,1,43170.11757454853,3522.7153823498306,526747.0244846175,122762.29321905377,23736.268859017237
204,domesticated - pot bellied,1,23108.08476477873,6031.611127312185,222219.37532796827,65613.55514202362,326912.86896981794
205,domesticated - pot bellied,1,13867.033373684326,4220.054943367883,240976.83623465142,33520.572925323766,362865.0530080822
206,domesticated,1,24192.686022377296,154.679272298145,150017.99556582668,133694.33630097462,360112.8372829134
207,domesticated - pot bellied,1,69455.75075001609,3102.8574433923013,441865.440856373,177132.57235127955,90454.07153669847
208,unknown,1,13695.011025416266,5527.274252175331,330246.41538779,142494.33654942623,198394.01320844638
209,unknown,1,56295.7192924598,7205.763478488617,532558.6270424938,109718.75273947742,27030.880961635594
210,domesticated - pot bellied,1,5831.170420101991,813.0373570008372,209037.598848133,90978.43299153667,315373.9182794503
211,unknown,1,2571.9228117097705,3121.0316276604303,210592.124360073,93602.00686826887,310802.49425430957
212,unknown,1,16608.364039444874,3506.66177639535,271054.1343912429,142596.24414436612,224932.7450602967
213,domesticated - pot bellied,1,58600.57974716194,2433.8691866703116,396172.85079068906,194579.53311038818,134217.09019997154
214,unknown,1,63662.52208344723,11526.574158524303,520741.2072562475,99132.37919516732,46037.84828066566
215,unknown,1,18811.137695140602,3536.877715031569,222748.1485386092,112114.9812537617,283023.3555683015
216,unknown,1,48579.26459130596,1332.0819477721502,21691.6507624475,270735.5896915185,511508.1392948404
217,unknown,1,21038.51442069757,3055.68996324166,181118.30458252333,94811.53965792384,372331.72229805245
218,domesticated,1,14768.30783514391,1094.7689703629917,45839.248041189545,231146.1211624201,462497.83746458974
219,unknown,1,11092.52485679019,8313.062975504112,224118.07617771032,84383.79768363212,303796.86820374714
220,domesticated - pot bellied,1,6651.814815216017,1797.2393851307859,233694.6637692146,40800.80185244076,367398.91611374135
221,unknown,1,9735.42486032467,5035.505226136255,241442.3362660682,89683.44858129178,282753.6446829338
222,domesticated - pot bellied,1,4916.997721530054,2152.351063523304,317770.34979927825,123564.78574896023,217577.2213962358
223,domesticated,1,32292.573721085813,9367.039518360287,24945.90390353449,302829.22760013724,549253.0182448658
224,unknown,1,17204.76873716824,11291.016357788516,218405.74862132262,59661.33437267169,346739.40669255663
225,unknown,1,11849.888065929179,2421.0120547358542,195201.5131951478,80888.35839559624,367148.0754908228
226,unknown,1,20516.32976324207,7204.9628421554135,507810.5583409821,67759.9959077818,83780.71506046513
227,domesticated,1,56020.10204667723,1284.7341506825192,96322.55067280996,211712.44579922123,378571.20220956975
228,unknown,1,22938.52408246214,1551.3433577465032,435684.94934502034,312738.04906164197,39694.30516427397
229,unknown,1,7052.013250609562,7012.5934054430445,169236.78582206622,105272.99040973173,388563.9094991164
